Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
17,Musician,75273.24,6552.77,8,,32,5,Credit-Builder Loan,50,9,12.8,6,Poor,2497.34,33.59482507,7,NM,222.6190561,124.6322882,High_spent_Large_value_payments,548.0256556,1
18,Media_Manager,54820.89,4295.4075,8,7,28,6,Mortgage Loan,36,20,18.42,8,Poor,4795.13,35.80248914,3,Yes,169.4819843,479.5857747,Low_spent_Small_value_payments,70.47299093,0
42,Doctor,45207.54,3507.295,8,8,24,6,Mortgage Loan,21,20,9.78,9,Poor,2497.48,26.63171974,20,Yes,148.9132734,39.83022939,!@9#%8,401.9859972,0
32,Scientist,144546.72,11809.56,0,3,7,2,Payday Loan,15,7,6.08,1,Good,1045.11,40.84068721,23,No,136.9885566,573.4115905,High_spent_Small_value_payments,730.5558529,1
38,Engineer,30346.35,2651.8625,5,4,14,7,Mortgage Loan,27,9,18.8,5,Standard,523.56,28.21235656,12,Yes,96.72128021,145.1083749,Low_spent_Small_value_payments,313.3565949,1
46,Mechanic,18681.465,1584.78875,2,3,9,2,Student Loan,6,8,3.9,1,Good,327.88,27.53134292,39,No,24.82142498,52.09642061,!@9#%8,351.5610294,1
35,Media_Manager,72330.98,6300.581667,0,,11,1,Auto Loan,1,7,4.62,1,Good,596.78,31.87384175,40,No,31.37979416,390.5462005,Low_spent_Medium_value_payments,488.132172,1
,Teacher,43241.49,3580.4575,10,7,30,6,Mortgage Loan,36,17,8.47,10,Poor,2174.16,39.78232874,14,Yes,162.2389631,410.1902491,Low_spent_Small_value_payments,75.61653778,0
24,Teacher,129067.59,10795.6325,1,3,1,4,Student Loan,9,5,1.54,0,Good,137.15,24.49869173,33,No,389.3056725,215.2174879,High_spent_Large_value_payments,715.0400896,1
21,Accountant,44719.17,3969.5975,6,6,29,7,Auto Loan,41,19,23.21,11,Poor,3818.57,30.98237348,13,Yes,248.5998859,130.2512251,High_spent_Medium_value_payments,268.1086391,0
47,Accountant,17787.34,1242.278333,8,4,16,2,Student Loan,0,15,5.65,0,Standard,730.9,26.99358623,38,No,20.06363388,42.29858803,High_spent_Small_value_payments,321.8656114,1
38,Journalist,31021.24,2756.103333,7,7,11,4,Auto Loan,16,21,18.21,4,Standard,852.81,31.19439865,32,No,90.75917846,68.51358027,High_spent_Medium_value_payments,366.3375746,1
36,Journalist,134978.24,11059.18667,8,5,15,2,Mortgage Loan,9,16,9.89,3,Poor,668.14,36.59328467,28,NM,145.1118234,834.1444379,Low_spent_Medium_value_payments,406.6624054,1
28,Writer,39800.12,3047.676667,7,5,12,3,Auto Loan,17,18,18.53,4,Poor,660.69,24.79435667,26,Yes,58.48765734,404.2182245,Low_spent_Small_value_payments,132.0617849,1
21,Architect,66105.4,5653.783333,6,8,31,5,Mortgage Loan,26,22,5.52,9,Poor,1549.56,30.11104031,13,Yes,214.0721231,180.1468487,High_spent_Small_value_payments,431.1593616,1
28,Mechanic,15398.95,1548.245833,1,7,5,4,Mortgage Loan,1,2,11.41,3,Poor,343.84,36.74315458,31,No,34.81396986,81.67810682,High_spent_Small_value_payments,298.3325067,1
18,Developer,27070.07,2518.839167,7,3,11,4,Student Loan,12,15,5.68,1,Standard,919.76,28.55585041,31,No,73.23331848,76.31458795,High_spent_Small_value_payments,362.3360102,1
28,Scientist,62320.56,5068.38,9,9,18,5,Auto Loan,26,15,21.24,10,Poor,3589.56,32.0205367,5,Yes,171.3455597,179.6503063,High_spent_Medium_value_payments,405.842134,0
25,Manager,43758.34,3454.528333,5,6,12,2,Personal Loan,9,2,4.18,1,Good,1194.28,29.31789666,34,No,56.31142051,229.2590696,High_spent_Small_value_payments,319.8823432,1
20,Writer,144881.68,11877.47333,3,4,15,4,Student Loan,6,13,10.1,2,Standard,404.51,33.90967515,34,Yes,414.6560132,10000,High_spent_Large_value_payments,738.2518345,1
38,Media_Manager,108147.3,8926.275,3,6,6,4,Student Loan,14,20,7.57,0,Standard,1113.06,36.42376664,37,Yes,211.1795816,328.4800428,High_spent_Small_value_payments,612.9678757,1
27,Lawyer,17759.1,1533.925,6,8,19,5,Student Loan,20,20,5.2,10,Poor,3598.39,27.22856802,13,Yes,64.55062049,190.0547612,Low_spent_Small_value_payments,188.7871183,0
37,Teacher,85328.73,6858.7275,3,4,11,1,Student Loan,11,17,1.83,1,Good,585.05,28.02456085,38,No,68.45896611,145.0907844,!@9#%8,712.3229995,1
26,Writer,134321.44,11064.45333,3,5,12,4,Mortgage Loan,26,19,11.09,3,Standard,1428.68,26.75528646,40,Yes,253.6882437,715.7040605,Low_spent_Medium_value_payments,417.0530291,1
24,Lawyer,61008,5235,10,5,32,4,Student Loan,16,19,19.44,12,Standard,1755.81,27.37324216,17,Yes,189.4265307,218.2076697,High_spent_Medium_value_payments,365.8657996,0
19,Developer,28665.76,2582.813333,7,3,5,1,Debt Consolidation Loan,14,10,11.32,0,Standard,1237.46,36.6396993,27,No,22.68817758,340.9908376,Low_spent_Small_value_payments,184.6023182,1
18,Lawyer,56803.71,4620.6425,7,5,25,6,Mortgage Loan,51,26,16.23,11,Poor,2593.44,29.75653236,14,Yes,187.1902189,10000,Low_spent_Small_value_payments,243.0942731,0
55,Doctor,19403.405,1904.950417,1,7,3,3,Credit-Builder Loan,13,9,3.9,2,Poor,339.11,31.22930685,20,No,39.21491443,52.12810762,High_spent_Medium_value_payments,349.1520196,1
19,_______,15015.4,1213.283333,5,5,9,1,Debt Consolidation Loan,23,9,5.04,1,Good,330.17,33.27002451,28,No,11.68573457,92.11412378,Low_spent_Small_value_payments,307.528475,0
34,Engineer,19777.05,1728.0875,5,3,3,3,Student Loan,19,3,5.95,1,Good,186.16,38.41845963,28,No,29.04553332,10000,High_spent_Small_value_payments,357.4905567,0
24,Musician,20188.02,1851.335,4,3,6,3,Mortgage Loan,10,5,1.31,0,Poor,399.92,28.54258478,22,No,25.58028082,147.6362135,Low_spent_Large_value_payments,281.9170057,1
39,Manager,30536.62,2430.718333,6,6,7,2,Auto Loan,19,7,9.33,4,Standard,687.87,31.02265867,19,Yes,42.97244102,96.7289942,High_spent_Medium_value_payments,353.3703981,1
,Architect,147499.6,12353.63333,2,2,12,2,Debt Consolidation Loan,14,3,4.21,1,Good,1250.67,42.25298015,23,No,192.2064833,10000,High_spent_Small_value_payments,1041.077483,1
42,Architect,20005.22,1683.101667,8,3,6,4,Credit-Builder Loan,22,20,18.33,8,Poor,1859.45,38.05357747,17,Yes,59.51321413,219.6562015,Low_spent_Small_value_payments,179.1407511,1
32,_______,19795.52,1662.626667,6,9,34,8,Mortgage Loan,15,21,22.79,10,Poor,3135.02,37.82075621,5,Yes,130.4754707,77.06641227,Low_spent_Small_value_payments,248.7207837,0
33,Doctor,60938.13,5163.1775,10,8,31,8,Mortgage Loan,24,18,12.49,9,Poor,3947.24,21.7448835,4,Yes,378.3046734,166.4876761,High_spent_Small_value_payments,231.5254005,0
36,_______,18717.02,1294.751667,8,5,15,5,Credit-Builder Loan,14,20,10.3,7,Standard,2103.99,32.72190461,19,Yes,60.64699329,172.2831653,Low_spent_Small_value_payments,186.5450081,0
44,Journalist,19163.22,1346.935,3,7,7,2,Personal Loan,23,18,8.76,5,Standard,2226.37,38.08096369,18,Yes,24.17564765,15.20673351,High_spent_Medium_value_payments,345.3111188,1
27,Musician,63536.98,5382.748333,4,5,12,2,Auto Loan,29,14,15.78,4,Poor,89.62,34.95044799,39,Yes,69.10085253,517.0200747,Low_spent_Small_value_payments,242.1539061,1
14,Accountant,27796.42,2300.368333,6,5,16,2,Student Loan,18,14,11.85,7,Standard,1073.94,41.02732543,28,Yes,36.06763128,128.2161902,High_spent_Small_value_payments,325.7530119,1
29,Engineer,132872.72,11203.72667,3,3,10,2,Student Loan,11,7,10.28,2,Good,89.68,33.45134938,35,No,27228,353.122864,High_spent_Small_value_payments,882.4191203,1
47,Accountant,37071.2,3006.266667,1,6,6,4,Debt Consolidation Loan,17,,11.56,3,Poor,869.99,34.98833625,22,No,74.69027138,386.8995613,Low_spent_Small_value_payments,129.0368339,1
20,Entrepreneur,41735.55,3357.9625,0,3,8,4,Debt Consolidation Loan,19,6,11.25,2,Good,1480.92,32.50328427,28,No,109.6141467,98.89486393,High_spent_Small_value_payments,387.2872394,1
18,Writer,7441.295,873.1079167,5,8,33,6,Mortgage Loan,17,16,5.12,10,Standard,2569.3,30.21890538,12,Yes,71268,96.30724364,Low_spent_Small_value_payments,255.5848048,0
40,Scientist,19065.32,1497.776667,3,6,5,5,Student Loan,23,14,7.81,4,Standard,2008.06,29.44953194,23,Yes,76.21247401,63.52147977,Low_spent_Medium_value_payments,290.0437129,1
46,Entrepreneur,24585.55,2316.795833,3,4,14,2,Auto Loan,9,14,11.35,0,Standard,195.38,30.63404463,35,Yes,30.44777694,43.26624308,High_spent_Large_value_payments,397.9655633,1
26,_______,15013.73,1127.144167,7,4,14,6,Credit-Builder Loan,23,12,8.22,5,Standard,1403.17,31.79668961,20,Yes,51.54792416,75.20945229,!@9#%8,265.9570402,1
49,Developer,102885.32,8643.776667,3,5,16,1,Personal Loan,11,13,10.31,4,Standard,605.34,22.39367942,28,Yes,74.15866353,857.7632224,Low_spent_Small_value_payments,222.4557808,1
38,Teacher,34212.01,2847.000833,6,5,10,3,Home Equity Loan,21,9,8.12,1,Standard,512.38,29.74634663,28,No,66.67641331,270.2397718,Low_spent_Small_value_payments,237.7838982,1
26,Entrepreneur,118487.16,9810.93,8,4,20,4,Student Loan,17,20,12.76,1,Standard,140.26,33.66718198,35,No,301.5608682,354.2155581,!@9#%8,595.3165737,1
31,Manager,16578.115,1426.509583,3,5,15,2,Student Loan,10,16,13.29,2,Standard,1054.86,34.12223746,31,Yes,21.42597208,25.85641455,High_spent_Medium_value_payments,345.3685717,1
20,Writer,74647.4,6327.616667,6,5,20,6,Mortgage Loan,52,17,26.16,8,Poor,4167.43,26.0383526,16,Yes,309.5754021,142.361499,High_spent_Large_value_payments,420.8247656,0
20,Media_Manager,30272.61,2258.7175,3,3,15,1,Payday Loan,30,8,8.83,8,Poor,180.94,35.62726893,15,Yes,17.97585099,128.3534494,Low_spent_Small_value_payments,369.5424496,1
32,Accountant,42220.39,3490.365833,1,4,1,5,Mortgage Loan,9,9,7.48,1,Good,257.81,25.56459705,26,NM,135.2703962,93.31106009,High_spent_Small_value_payments,380.4551271,1
51,Architect,43581.13,3566.760833,4,3,,3,Student Loan,14,2,8.56,2,Good,900.83,37.27591161,24,No,103.0330777,120.203879,Low_spent_Medium_value_payments,413.4391267,1
26,Entrepreneur,19853.35,1726.445833,7,4,6,2,Debt Consolidation Loan,21,17,11.63,1,Standard,816.46,33.82929719,18,No,28.07196547,10000,Low_spent_Medium_value_payments,369.6677237,1
32,Writer,115643.01,9910.9175,3,7,2,3,Student Loan,18,1,6.89,1,Poor,951.36,27.56800421,18,No,195.3940091,414.0255925,High_spent_Small_value_payments,641.6721483,0
44,Journalist,7512.225,513.01875,7,7,14,5,Student Loan,6,19,11.87,7,Standard,540.07,27.51300973,9,Yes,20.68610769,32.37729898,Low_spent_Small_value_payments,288.2384683,1
15,Mechanic,35161.46,2930.121667,10,8,32,6,Mortgage Loan,61,24,2.49,12,Poor,4445.32,31.0425119,8,Yes,113.3910842,123.585426,Low_spent_Small_value_payments,346.0356564,0
22,Entrepreneur,19283.47,1886.955833,10,8,34,9,Student Loan,38,15,26.43,12,Poor,4404.48,26.51448318,13,Yes,84.61643173,87.58752722,Low_spent_Small_value_payments,306.4916244,0
33,Media_Manager,9444.795,850.06625,7,8,28,6,Mortgage Loan,21,11,17.57,7,Standard,1701.58,38.48831078,9,Yes,27.5949503,92.59222789,!@9#%8,254.8194468,1
53,Doctor,70112.78,5989.731667,1,7,3,2,Mortgage Loan,5,3,1.75,2,Good,877.06,36.97651581,24,No,69.71794787,433.1852678,Low_spent_Medium_value_payments,376.069951,0
36,_______,68935.26,5518.605,1,5,8,3,Auto Loan,18,6,3.25,4,Good,457.81,23.06996228,29,No,68265,208.5060891,High_spent_Medium_value_payments,490.5581022,1
36,Musician,10025.2,1089.433333,10,10,21,7,Auto Loan,23,14,16.88,12,Standard,1409.58,36.61446866,18,Yes,41.43157634,141.3578697,Low_spent_Small_value_payments,216.1538873,0
22,Accountant,86522.72,7098.226667,8,5,13,1,Student Loan,17,10,15.51,8,Standard,455.22,39.76005144,35,Yes,45.26468138,95.86465456,High_spent_Large_value_payments,808.6933307,1
21,Lawyer,124419.66,10221.305,3,4,11,4,Mortgage Loan,13,9,7.12,0,Good,923.85,32.05791074,32,No,344.1815356,338.6474398,High_spent_Medium_value_payments,589.3015246,1
50,Entrepreneur,15606.515,1234.542917,3,4,6,4,Student Loan,8,1,9.37,2,Poor,257.85,30.0612628,33,No,34706,11.91253583,High_spent_Large_value_payments,315.9153833,0
19,Teacher,11970.955,1169.579583,8,4,7,2,Credit-Builder Loan,26,8,4.72,1,Poor,889.62,33.26282623,26,No,14.8851947,44.42759779,High_spent_Small_value_payments,317.6451658,1
20,Manager,33335.24,3059.936667,1,6,8,1,Student Loan,-2,7,4.07,4,Good,1226.23,30.98273421,23,No,21.53854806,88.11987223,Low_spent_Medium_value_payments,476.3352464,1
48,Entrepreneur,32314.44,2805.87,2,5,5,3,Student Loan,9,11,9.54,0,Good,1339.6,26.92427772,29,No,80.21419154,270.2810239,Low_spent_Medium_value_payments,210.0917846,1
,Manager,61235.6,4870.966667,0,5,7,1,Payday Loan,13,6,11.42,2,Good,71.52,38.84510679,33,No,27.6545998,214.8214093,Low_spent_Small_value_payments,534.6206576,1
21,Doctor,29608.46,2625.371667,7,8,31,7,Auto Loan,42,15,9.06,10,Poor,1286.07,37.83423279,14,Yes,141.7642823,43.06699278,High_spent_Medium_value_payments,327.7058916,0
15,Musician,52972.5,4600.375,7,5,32,3,Mortgage Loan,46,24,7.2,11,Poor,2196.59,30.95751108,15,Yes,112.6957682,121.4630158,Low_spent_Medium_value_payments,505.878716,0
31,Architect,30922.28,2494.856667,1,5,12,2,Mortgage Loan,19,1,11.71,2,Poor,957.53,29.96391714,24,No,30.33820426,10000,Low_spent_Small_value_payments,418.9625465,0
26,Lawyer,39696.98,3211.081667,5,5,10,1,Personal Loan,16,3,1.98,1,Good,133.3,39.88622693,24,No,31.90658017,73.87093984,High_spent_Medium_value_payments,465.3306467,0
34,Journalist,120366.6,9888.55,4,7,2,4,Credit-Builder Loan,12,5,0.8,3,Poor,1396.64,33.27508901,21,No,233.4424036,177.0411954,High_spent_Large_value_payments,818.371401,0
30,Manager,76087.68,6155.64,6,3,9,4,Mortgage Loan,18,12,13.73,2,Standard,50.22,24.53002466,28,Yes,232.066077,424.8286523,!@9#%8,238.6692707,1
23,Mechanic,51824.94,4417.745,6,7,26,8,Mortgage Loan,40,,0.63,8,Poor,2958.02,32.82321739,10,Yes,257.6594545,183.1824693,Low_spent_Small_value_payments,290.9325763,0
31,Journalist,11431.775,930.6479167,8,6,16,4,Credit-Builder Loan,7,17,0.52,3,Standard,117.57,36.90859194,25,No,29.48547134,94.48374513,!@9#%8,259.0955752,1
38,Doctor,14224.655,1395.387917,8,6,13,1,Home Equity Loan,27,10,8.1,1,Standard,1343.01,40.91960544,40,NM,7.642056541,82.13893654,!@9#%8,309.7577986,1
46,Musician,142170.12,11584.51,3,4,,2,Mortgage Loan,3,1,2.58,3,Good,282.56,43.85317142,27,No,183.7595131,183.615297,High_spent_Medium_value_payments,1041.07619,1
34,Teacher,94454.1,8102.175,1,4,5,5,Credit-Builder Loan,4,6,1.63,4,Good,1342.61,26.063001,38,NM,152.5068947,10000,High_spent_Medium_value_payments,719.6850633,1
26,Teacher,96582.24,7886.52,3,3,13,1,Auto Loan,9,13,19.79,0,Standard,482.88,40.76449784,32,Yes,72.4602111,223.2239756,High_spent_Medium_value_payments,742.9678133,1
27,Doctor,7821.24,468.77,8,10,29,6,Mortgage Loan,62,17,19.34,7,Poor,2924.76,37.09246095,18,Yes,19.72792349,52.61604233,!@9#%8,264.5330342,0
22,Manager,30972.54,2431.045,7,9,16,2,Mortgage Loan,59,16,18.91,10,Poor,2203.46,26.56320546,22,Yes,35.63379962,286.5592868,Low_spent_Small_value_payments,210.9114136,1
53,Journalist,34547.54,2994.961667,6,6,5,1,Personal Loan,21,13,3.59,1,Poor,939.31,29.28591964,24,No,27.76471097,129.1514853,Low_spent_Large_value_payments,412.5799704,1
30,Musician,173196.32,14258.02667,4,7,9,1,Home Equity Loan,9,5,6.06,4,Good,967.23,37.22879528,33,No,107.8108996,366.6186098,High_spent_Large_value_payments,1191.373157,1
19,Engineer,20354.85,1403.2375,8,6,30,7,Student Loan,36,24,23.66,10,Poor,4288.63,26.88303442,4,Yes,80.21854913,169.6902262,Low_spent_Small_value_payments,180.4149747,0
14,Doctor,8882.47,555.2058333,9,7,19,7,Auto Loan,44,15,15.62,7,Poor,1580.91,31.19700553,21,Yes,27.52869913,70.77410098,Low_spent_Small_value_payments,247.2177832,0
26,Manager,34128.92,2740.076667,6,8,31,6,Student Loan,18,25,3.99,9,Poor,2626.28,36.32902367,10,Yes,118.0668546,273.1118168,Low_spent_Small_value_payments,172.8289952,0
43,Scientist,29042.45,2252.204167,3,5,5,1,Student Loan,5,16,9.72,3,Standard,1092.55,38.83326749,31,Yes,16.75670654,52.83439159,High_spent_Large_value_payments,395.6293185,1
14,Doctor,74733.44,5933.786667,9,6,19,5,Mortgage Loan,17,20,28.48,9,Poor,4685.34,38.95828946,10,NM,195.5397719,254.722734,Low_spent_Small_value_payments,433.1161608,0
44,Media_Manager,8681.77,647.4808333,6,9,23,7,Student Loan,47,24,24.6,12,Poor,2216.25,38.82494754,18,Yes,28.44218887,19.40893719,Low_spent_Medium_value_payments,296.8969573,0
40,Teacher,20540.49,1859.7075,0,,8,1,Payday Loan,3,3,7.09,2,Good,1118.37,29.79642124,22,No,8.821659719,25.47029346,!@9#%8,391.6787968,1
51,Musician,38175.39,3287.2825,1,2,7,3,Debt Consolidation Loan,0,8,11.81,2,Good,315.36,31.08087477,36,No,69.05565634,161.4185877,Low_spent_Large_value_payments,368.254006,1
38,Teacher,39399.9,3487.325,6,6,17,2,Payday Loan,27,19,18.62,12,Standard,2206.86,38.24463199,16,Yes,43.1712988,317.9129512,Low_spent_Medium_value_payments,267.64825,0
24,Musician,142113.96,11903.83,6,4,17,3,Personal Loan,16,12,18.1,8,Standard,1037.68,38.43515845,25,Yes,224.1221386,247.7038276,High_spent_Large_value_payments,958.5570338,1
47,Mechanic,65299.38,5305.615,4,5,,2,Student Loan,10,0,5.68,1,Good,1177.38,38.52846274,25,NM,77.00931295,217.9119462,Low_spent_Medium_value_payments,515.6402408,1
52,Manager,33200.52,2755.71,,4,20,2,Student Loan,25,18,9.59,4,Standard,1290.73,38.2187307,22,No,28.06429662,36.30527047,High_spent_Medium_value_payments,461.2014329,1
40,Architect,82289.36,6951.446667,8,8,22,5,Mortgage Loan,29,17,18.75,11,Poor,4736.25,39.99531969,9,Yes,240.7514411,101.0511413,High_spent_Large_value_payments,593.3420843,0
39,Entrepreneur,7792.475,573.3729167,6,7,16,7,Student Loan,16,18,16.6,9,Standard,2041.74,36.7816583,14,Yes,42.0997216,17.96458279,High_spent_Medium_value_payments,247.2729873,0
50,Teacher,19180.87,1688.405833,8,4,18,4,Auto Loan,7,17,5.32,1,Poor,1127.57,33.15190296,31,No,57.36421101,142.99474,Low_spent_Large_value_payments,238.4816323,1
30,Entrepreneur,60552.76,4950.063333,3,7,12,3,Mortgage Loan,30,11,9.72,4,Good,463.07,37.02752347,27,NM,111.7288201,66.53602515,High_spent_Medium_value_payments,566.7414881,0
40,Lawyer,9141.63,797.8025,9,6,33,5,Mortgage Loan,64,17,0.8,12,Poor,2506.45,25.14818676,17,Yes,27.80112878,39.74367894,Low_spent_Medium_value_payments,292.2354423,0
39,Accountant,98197.74,8005.145,5,6,6,3,Mortgage Loan,30,7,9.09,2,Standard,627.5,33.11569136,29,No,138.5419769,102.9413811,High_spent_Large_value_payments,799.0311421,1
21,Journalist,30197.28,2594.44,5,7,14,4,Mortgage Loan,20,11,17,5,Standard,811.08,35.86524097,17,Yes,57.08103771,227.2340379,Low_spent_Small_value_payments,265.1289244,1
18,Manager,31633.54,2930.128333,1,5,8,3,Mortgage Loan,8,8,9.7,3,Good,846.45,25.48602333,29,No,50.76844004,200.9042,Low_spent_Small_value_payments,331.3401933,0
31,Architect,118172.64,9932.72,0,2,3,4,Auto Loan,10,8,5.71,1,Good,701.27,40.09320892,19,No,366.868297,389.7660015,Low_spent_Medium_value_payments,516.6377014,1
35,Journalist,10007.815,757.9845833,4,4,8,7,Student Loan,7,8,19.16,5,Standard,2195.63,36.7091872,26,Yes,55.9509731,35.92782529,Low_spent_Small_value_payments,273.9196599,1
27,Entrepreneur,121688.04,10006.67,7,3,,4,Mortgage Loan,18,13,0.66,2,Standard,54.68,38.01558168,34,NM,288.6654547,139.3412612,High_spent_Large_value_payments,812.6602841,1
21,Accountant,31069.32,2361.11,2,3,12,,Student Loan,14,3,7.78,2,Good,343.6,36.40319142,19,No,34.16860445,139.0871475,Low_spent_Medium_value_payments,342.855248,1
24,Teacher,7612.725,928.39375,8,5,16,6,Mortgage Loan,60,24,6.06,10,Poor,1514.74,25.61720755,13,Yes,27.52282261,65.42688294,Low_spent_Small_value_payments,289.8896694,0
